timeAddFromFront test,
Number Of,Average Time(ms),
5500,3,
8000,4,
10500,7,
13000,12,
15500,19,
18000,26,
20500,34,
23000,43,
25500,52,
28000,63,
30500,73,
33000,86,
35500,101,
38000,117,
40500,132,
43000,147,
45500,164,
48000,182,
50500,200,
53000,218,
55500,240,
58000,263,
60500,286,
63000,315,
65500,336,
68000,365,
70500,392,
73000,427,
75500,456,
78000,491,
80500,524,
83000,558,
85500,602,
88000,640,
90500,684,
93000,725,
95500,766,
98000,813,
100500,871,
103000,916,
105500,986,
108000,1027,
110500,1029,
113000,1136,
115500,1192,
118000,1251,
120500,1311,
123000,1377,
125500,1443,
128000,1510,
130500,1578,
133000,1641,
135500,1714,
138000,1788,
140500,1859,
143000,1927,
145500,1997,
148000,2077,
150500,2140,
153000,2272,
155500,2322,
158000,2339,
160500,2493,
163000,2683,
165500,2785,
168000,3077,
170500,3190,
173000,3124,
175500,3013,
178000,3140,
180500,3206,
183000,3388,
185500,3459,
188000,3545,
190500,3625,
193000,3690,
195500,3948,
198000,4057,
200500,4181,
203000,4235,
205500,4381,
208000,4473,
210500,4609,
213000,4799,
215500,4813,
218000,4832,
220500,4859,
223000,4968,
225500,5091,
228000,5210,
230500,5323,
233000,5485,
235500,5557,
238000,5673,
240500,5801,
243000,5944,
245500,6064,
248000,6187,
250500,6352,
253000,6444,
