timeAddFromFront test,
Number Of,Average Time(ms),
5500,3,
8000,5,
10500,8,
13000,13,
15500,19,
18000,26,
20500,34,
23000,42,
25500,52,
28000,64,
30500,75,
33000,87,
35500,102,
38000,117,
40500,132,
43000,149,
45500,165,
48000,185,
50500,202,
53000,225,
55500,249,
58000,272,
60500,296,
63000,322,
65500,350,
68000,375,
70500,407,
73000,439,
75500,467,
78000,500,
80500,539,
83000,582,
85500,606,
88000,684,
90500,722,
93000,755,
95500,790,
98000,841,
100500,879,
103000,942,
105500,993,
108000,1042,
110500,1050,
113000,1173,
115500,1221,
118000,1280,
120500,1361,
123000,1417,
125500,1490,
128000,1540,
130500,1605,
133000,1686,
135500,1760,
138000,1829,
140500,1899,
143000,1992,
145500,2075,
148000,2141,
150500,2220,
153000,2293,
155500,2368,
158000,2453,
160500,2553,
163000,2618,
165500,2708,
168000,2800,
170500,2911,
173000,3001,
175500,3073,
178000,3214,
180500,3283,
183000,3396,
185500,3608,
188000,3576,
190500,3688,
193000,3790,
195500,3894,
198000,4012,
200500,4102,
203000,4187,
205500,4331,
208000,4441,
210500,4549,
213000,4685,
215500,4796,
218000,4872,
220500,5014,
223000,5168,
225500,5267,
228000,5393,
230500,5482,
233000,5632,
235500,5733,
238000,5857,
240500,6015,
243000,6137,
245500,6255,
248000,6379,
250500,6496,
253000,6653,
255500,6766,
258000,6930,
