timeAddSorted test,
Number Of,Time(ms)
2000,18
3000,33
4000,65
5000,102
6000,143
7000,194
8000,255
9000,327
10000,391
11000,487
12000,572
13000,657
14000,748
15000,894
16000,980
17000,1121
18000,1255
19000,1420
20000,1535
21000,1636
22000,1810
23000,1969
24000,2140
25000,2329
26000,2521
27000,2714
28000,2920
29000,3133
30000,3355
31000,3572
32000,3817
33000,4112
34000,4302
35000,4555
36000,4819
37000,5094
38000,5373
39000,5659
40000,5956
41000,6255
42000,6553
44000,7266
45000,7580
46000,7900
47000,8223
48000,8573
49000,8949
50000,9288
51000,9673
52000,10074
53000,10438
54000,10823
55000,11234
56000,11623
57000,12066
58000,12562
59000,12949
60000,13357
61000,13835
62000,14295
63000,14753
64000,15262
65000,15795
66000,16214
67000,16703
68000,18465
69000,19372
70000,19437
71000,20117
72000,19589
73000,20069
74000,20698
75000,21232
76000,21612
77000,22533
78000,23054
79000,25240
80000,24259
81000,24783
82000,25353
83000,26522
84000,27061
85000,28034
86000,28557
87000,29163
88000,30038
89000,29985
90000,30595
91000,30835
92000,31528
93000,33322
94000,32895
95000,33524
96000,34441
97000,35041
98000,35803
99000,36504
100000,37172
101000,37978
