timeAddSorted test,
Number Of,Time(ms),
2000,17,
3000,34,
4000,65,
5000,100,
6000,142,
7000,195,
8000,255,
9000,315,
10000,391,
11000,472,
12000,560,
13000,668,
14000,763,
15000,877,
16000,994,
17000,1137,
18000,1271,
19000,1393,
20000,1534,
21000,1704,
22000,1849,
23000,2012,
24000,2181,
25000,2371,
26000,2555,
27000,2748,
28000,2953,
29000,3163,
30000,3392,
31000,3623,
32000,3841,
33000,4039,
34000,4281,
35000,4557,
36000,4840,
37000,5135,
38000,5401,
39000,5690,
40000,5992,
41000,6277,
42000,6581,
43000,6955,
44000,7286,
45000,7612,
46000,7918,
47000,8258,
48000,8604,
49000,9104,
50000,9367,
51000,9717,
52000,10112,
53000,10472,
54000,10856,
55000,11288,
56000,11678,
57000,12097,
58000,12530,
59000,12958,
60000,13399,
61000,13904,
62000,14302,
63000,14799,
64000,15278,
65000,15766,
66000,16196,
67000,16709,
68000,17201,
69000,17739,
70000,305817,
71000,19080,
72000,19259,
73000,19816,
74000,20314,
75000,20860,
76000,21533,
77000,22192,
78000,22694,
79000,23174,
80000,23786,
81000,24304,
82000,24945,
83000,25488,
84000,26184,
85000,26843,
86000,27399,
87000,28049,
88000,28770,
89000,29448,
90000,30077,
91000,30724,
92000,31424,
93000,32052,
94000,32760,
95000,33411,
96000,34196,
97000,34896,
98000,35512,
99000,36251,
100000,37032,
101000,37861,
