arrayTimeAddFromFront test,
Number Of,Average Time(ms),
5500,3,
8000,4,
10500,7,
13000,12,
15500,17,
18000,24,
20500,31,
23000,39,
25500,47,
28000,58,
30500,70,
33000,81,
35500,95,
38000,106,
40500,120,
43000,137,
45500,152,
48000,169,
50500,190,
53000,208,
55500,228,
58000,250,
60500,271,
63000,292,
65500,319,
68000,346,
70500,371,
73000,400,
75500,433,
78000,461,
80500,496,
83000,529,
85500,565,
88000,608,
90500,645,
93000,685,
95500,731,
98000,774,
100500,824,
103000,868,
105500,914,
108000,968,
110500,1020,
113000,1077,
115500,1138,
118000,1194,
120500,1257,
123000,1317,
125500,1386,
128000,1451,
130500,1513,
133000,1592,
135500,1652,
138000,1728,
140500,1817,
143000,1865,
145500,1946,
148000,2020,
150500,2095,
153000,2179,
155500,2255,
158000,2345,
160500,2423,
163000,2525,
165500,2606,
168000,2718,
170500,2775,
173000,2859,
175500,2947,
178000,3033,
180500,3124,
183000,3220,
185500,3323,
188000,3410,
190500,3511,
