linkedTimeFindSecond test,
Number Of,Average Time(ms),
5000,13,
10000,47,
15000,102,
20000,186,
25000,291,
30000,437,
35000,571,
40000,783,
45000,941,
50000,1216,
55000,1395,
60000,1745,
65000,2026,
70000,2383,
75000,2679,
80000,2951,
85000,3521,
90000,3841,
95000,4671,
100000,5056,
105000,5487,
110000,6344,
115000,6774,
120000,7692,
125000,7831,
130000,9332,
135000,9486,
140000,11602,
145000,11777,
150000,12767,
155000,14282,
160000,14838,
165000,16638,
170000,19311,
175000,21499,
180000,18164,
185000,19577,
190000,27485,
195000,23686,
200000,29919,
205000,30110,
210000,31227,
215000,37434,
220000,40245,
225000,38362,
230000,46213,
235000,43014,
240000,49302,
245000,51908,
250000,51644,
