,200.0,100.0,66.67,50.0,40.0,
1000000,582295240,259273001,257454321,222730858,224994451,
2000000,542031218,451687586,665678551,655290110,666110923,
3000000,1568362880,1785012260,1621140070,1807543824,1932156376,
4000000,2407041175,2678847462,3276910421,1451622578,3689642616,
5000000,4479590061,3993786004,3975612846,3569803180,3667672182,
6000000,4168647991,5298376267,4487190756,6692471121,8778459303,
7000000,7556278917,9525708942,8908499470,7829144975,7606746403,
8000000,10337673591,9237273625,8325255541,8117347258,8190056928,
9000000,9993128575,8985809373,9077715160,8053811512,8055075107,
10000000,9767398461,9410888518,8894296253,8366710723,8746843500,
